"database_name";"table_name";"model_name";"is_active";"execution_frequency";"execution_where_clause";"real_window";"retention_comment"
EP_CDC;GCTI_AGT_CHAT_STATS_DAY;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)));10;plosne zkraceno z 60 na 10 v 2025-07-22
EP_IND_WRK;S_CCR_REL_WRK;EP_IND_WRK;1;D ;Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 1 );0;L2i - loading at each load like FULL. So, we need 1 completed last incremental data sests, and it is 3(loads per day)x7(days in week)x3(data sets ) => 2 
AP_STG;OCS_MMS_BALTYPE;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
EP_STG;NTE_IPTV_OTT_LIVE;EP_STG;1;D ;ins_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
AP_STG;NGP_STR_FIN_CLOS;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '730' DAY) AS TIMESTAMP(0));730;Pozadavek dle bidev-6102
EP_STG;PCR_O_ORDER_ITEM_ATTR_H;EP_STG;1;D ;upd_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '90' DAY) AS TIMESTAMP(0));90;Retence STG H tabulek
EP_LND;TTS_TDST_C_COMBUSIN;EP_LND;1;M ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;Bodlak, 20190726: sada malych tabulek
EP_LND;M2C_O_ORD_ATTR_H;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_CDC;GCTI_SM_RES_STATE_REASON_FACT;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)));10;plosne zkraceno z 60 na 10 v 2025-07-22
EP_LND;OCM_C_TICKET;EP_LND;1;D ;extract_dttm < CAST((CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
EP_CDC;GCTI_MEDIATION_SEGMENT_FACT;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)));10;plosne zkraceno z 60 na 10 v 2025-07-22
EP_LND;TTS_TDST_T_WONOTICE;EP_LND;1;D ;extract_dttm < CAST((CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
AP_STG;OCS_BUNDLE_ACTIVATION_COST;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;LMO: nikde nezpracováváme, usmrtit?
EP_LND;OCM_C_CR_STEP;EP_LND;1;D ;extract_dttm < CAST((CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
AP_STG;MAMP_CMP;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '730' DAY) AS TIMESTAMP(0));730;INIT: vygenerovano z press
EP_LND;SAP_MATKL;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '15' DAY) AS TIMESTAMP(0));15;
EP_LND;GEN_BASE;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_LND;TTS_TDST_C_PEWTYPE;EP_LND;1;M ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;Bodlak, 20190726: sada malych tabulek
EP_LND;SAP_KTOKD;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '15' DAY) AS TIMESTAMP(0));15;
EP_LND;PCR_O_ORDER_ITEM_PRICE;EP_LND;1;D ;extract_dttm < CAST((CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
EP_LND;PCR_CRM_CONTACT_TYPE;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
AP_STG;OCS_DATA_SCUR_COST;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
EP_CDC;GCTI_RESOURCE_STATE;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)));10;plosne zkraceno z 60 na 10 v 2025-07-22
EP_LND;OCM_O_ORDER_ITEM_OPERATION_TP;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '50' DAY) AS TIMESTAMP(0));50;Default IFRS LND retention period, data are available even after in source extracts and STG DB
EP_LND;OCM_O_ORDER_ITEM;EP_LND;1;D ;extract_dttm < CAST((CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
EP_LND;NIC_PHONE_TAG;EP_LND;1;M ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;Bodlak, 20190726: sada malych tabulek
